Semiconductors,gap
Cs2Ca1Ge1Se4_kesterite,2.87
Cs2Ca1Ge1Se4_stannite,2.01
Cs2Ca1Ge1Te4_kesterite,1.65
Cs2Ca1Ge1Te4_stannite,1.37
Cs2Ca1Sn0.5Ge0.5Se2Te2_stannite,1.38
Cs2Ca1Sn1S4_kesterite,3.79
Cs2Ca1Sn1S4_stannite,2.75
Cs2Ca1Sn1Se4_kesterite,3.02
Cs2Ca1Sn1Se4_stannite,2.11
Cs2Ca1Sn1Te4_kesterite,1.81
Cs2Ca1Sn1Te4_stannite,1.52
Cs2Cd1Ge1S4_kesterite,2.41
Cs2Cd1Ge1S4_stannite,1.47
Cs2Cd1Ge1Se4_kesterite,2.41
Cs2Cd1Ge1Se4_stannite,1.47
Cs2Cd1Ge1Te4_kesterite,1.63
Cs2Cd1Ge1Te4_stannite,0.89
Cs2Cd1Sn1S4_kesterite,2.93
Cs2Cd1Sn1S4_stannite,2.28
Cs2Cd1Sn1Se4_kesterite,2.18
Cs2Cd1Sn1Se4_stannite,1.63
Cs2Cd1Sn1Te4_kesterite,1.66
Cs2Cd1Sn1Te4_stannite,0.95
Cs2Mg0.5Ca0.5Sn1S1Se3_kesterite,2.86
Cs2Mg0.5Ca0.5Sn1S1Se3_stannite,1.53
Cs2Mg1Ge1S4_kesterite,4.02
Cs2Mg1Ge1S4_stannite,2.36
Cs2Mg1Ge1Se4_kesterite,3.06
Cs2Mg1Ge1Se4_stannite,1.62
Cs2Mg1Ge1Te4_kesterite,1.73
Cs2Mg1Ge1Te4_stannite,1.01
Cs2Mg1Sn1S4_kesterite,3.7
Cs2Mg1Sn1S4_stannite,2.44
Cs2Mg1Sn1Se4_kesterite,2.81
Cs2Mg1Sn1Se4_stannite,1.75
Cs2Mg1Sn1Te4_kesterite,1.89
Cs2Mg1Sn1Te4_stannite,1.09
Cs2Sr1Ge1S4_kesterite,3.56
Cs2Sr1Ge1S4_stannite,2.72
Cs2Sr1Ge1Se4_kesterite,2.8
Cs2Sr1Ge1Se4_stannite,2.1
Cs2Sr1Ge1Te4_kesterite,1.68
Cs2Sr1Ge1Te4_stannite,0.4
Cs2Sr1Sn1S4_kesterite,3.67
Cs2Sr1Sn1S4_stannite,2.83
Cs2Sr1Sn1Se4_kesterite,2.98
Cs2Sr1Sn1Se4_stannite,2.2
Cs2Sr1Sn1Te4_kesterite,1.84
Cs2Sr1Sn1Te4_stannite,1.62
Cs2Zn1Ge1S4_kesterite,3.51
Cs2Zn1Ge1S4_stannite,2.04
Cs2Zn1Ge1Se4_kesterite,2.54
Cs2Zn1Ge1Se4_stannite,1.28
Cs2Zn1Ge1Te4_kesterite,1.58
Cs2Zn1Ge1Te4_stannite,0.57
Cs2Zn1Sn1S4_kesterite,3.07
Cs2Zn1Sn1S4_stannite,2.15
Cs2Zn1Sn1Se4_kesterite,2.3
Cs2Zn1Sn1Se4_stannite,1.41
